Date,Sector,Index,Turnover,Volume,Trades,Chg,Chg,ForeignBuy,ForeignSell,BS,ForeignNet,MarketCap,PER,RSI
2019-11-06,ASI,"5956.52","953500339","22585205","5874",-37.14,-0.61,"335974455","364529529",S,"-28555074","2770360813120",10.52,60.31
2019-11-07,ASI,"5932.07","599692400","36747076","5878",-24.45,-0.41,"118925793","132242421",S,"-13316628","2758988895866",10.47,55.36
2019-11-08,ASI,"5954.62","722614294","37882909","5109",22.55,0.38,"73606239","84989585",S,"-11383346","2769475632226",10.51,58.73
2019-11-13,ASI,"5989.42","2015514021","31294664","6781",34.80,0.58,"34535849","1560472604",S,"-1525936755","2785662749273",10.58,63.32
2019-11-14,ASI,"5980.07","635453840","22913196","5382",-9.35,-0.15,"135267832","141055543",S,"-5787712","2781312735212",10.56,61.34
2019-11-15,ASI,"6023.02","917612716","59716407","8864",42.95,0.71,"9245270","313106133",S,"-303860862","2801897093406",10.64,66.51
2019-11-18,ASI,"6129.56","2413582505","116447030","18569",106.54,1.76,"178322190","569900230",S,"-391578040","2851456513273",10.83,75.32
2019-11-19,ASI,"6142.76","1438659374","72950685","14878",13.20,0.21,"130112449","385931049",S,"-255818600","2857600002862",10.85,76.16
2019-11-20,ASI,"6138.59","2046914831","89825219","15669",-4.17,-0.06,"167344391","791601114",S,"-624256723","2855660216209",10.84,75.29
2019-11-21,ASI,"6138.33","1270332669","54274292","13254",-0.26,0.00,"54578501","349566784",S,"-294988282","2855538138475",10.84,75.23
2019-11-22,ASI,"6119.27","925648420","61305377","10221",-19.06,-0.31,"160732941","210815724",S,"-50082783","2846672467718",10.81,70.95
2019-11-25,ASI,"6083.74","662639751","41167417","6788",-35.53,-0.58,"168927495","94123355",B,"74804140","2830143764730",10.74,63.66
2019-11-26,ASI,"6094.85","633323961","32508523","7499",11.11,0.18,"36029643","137493377",S,"-101463734","2835311714563",10.76,64.88
2019-11-27,ASI,"6118.87","1290140457","72348744","10039",24.02,0.39,"476088283","652820382",S,"-176732098","2846484637824",10.81,67.41
2019-11-28,ASI,"6201.12","2783426977","90540706","16526",82.25,1.34,"373141100","1194353462",S,"-821212362","2884747756195",10.95,74.26
2019-11-29,ASI,"6211.97","1605316577","62923918","11495",10.85,0.17,"52372388","525073452",S,"-472701064","2889794698146",10.97,75.01
2019-12-02,ASI,"6215.23","702651633","38782036","8185",3.26,0.05,"198735651","70119247",B,"128616404","2891311322572",10.98,75.24
2019-12-03,ASI,"6214.99","946619333","74305345","9266",-0.24,0.00,"179015832","97405342",B,"81610490","2891199713239",10.98,75.19
2019-12-04,ASI,"6206.40","824604867","35248191","9240",-8.59,-0.13,"101407494","278341240",S,"-176933746","2887208310796",10.96,73.11
2019-12-05,ASI,"6160.88","1196737618","67432881","7533",-45.52,-0.73,"283630546","311436102",S,"-27805556","2866033232029",10.88,63.16
2019-12-06,ASI,"6149.57","404335075","29645775","6425",-11.31,-0.18,"64962332","150939087",S,"-85976755","2860770249633",10.86,60.94
2019-12-09,ASI,"6103.63","435485959","18441757","5264",-45.94,-0.74,"28179132","169182770",S,"-141003638","2839399072309",10.78,52.82
2019-12-10,ASI,"6060.20","573446234","14821530","4684",-43.43,-0.71,"143826199","356999019",S,"-213172821","2819197423447",10.70,46.51
2019-12-12,ASI,"6099.66","440908114","21304532","4301",39.46,0.65,"240704161","294840480",S,"-54136319","2837557070767",10.77,52.11
2019-12-13,ASI,"6089.67","379658934","12879500","3382",-9.99,-0.16,"9539049","51738726",S,"-42199677","2832906280124",10.76,50.67
