Date,Security,EX,Close,PrevClose,Cha,Open,High,Low,Avg,Volume,Turnover,Trns,RSI,Return,DilutedPrice
04/01/2016,EXPON0000,,8.1,8.1,0,8.1,8.1,8.1,8.1,12324,99824,7,57.11,0,8.1
05/01/2016,EXPON0000,,8.1,8.1,0,8.1,8.1,8.1,8.1,7000,56700,4,66.74,0,8.1
06/01/2016,EXPON0000,,8,8.1,-0.1,8.1,8.2,7.9,8.04,404412,3250213,41,50,-1.23,8
07/01/2016,EXPON0000,,8,8,0,7.9,8,7.9,8,9505,76020,5,60.11,0,8
08/01/2016,EXPON0000,,8,8,0,8,8.1,8,8,108984,871922,21,50,0,8
11/01/2016,EXPON0000,,8,8,0,7.9,8,7.9,7.92,26800,212370,10,33.33,0,8
12/01/2016,EXPON0000,,7.8,8,-0.2,7.9,7.9,7.8,7.86,71110,558963,40,24.91,-2.5,7.8
13/01/2016,EXPON0000,,7.9,7.8,0.1,7.9,7.9,7.8,7.87,16580,130532,22,39.89,1.28,7.9
14/01/2016,EXPON0000,,7.7,7.9,-0.2,7.9,7.9,7.7,7.79,35710,278248,18,28.46,-2.53,7.7
18/01/2016,EXPON0000,,7.4,7.7,-0.3,7.7,7.7,7.4,7.56,122455,925217,37,11.06,-3.89,7.4
19/01/2016,EXPON0000,,7.3,7.4,-0.1,7.4,7.4,7.2,7.31,264810,1936295,61,9.96,-1.35,7.3
20/01/2016,EXPON0000,,7,7.3,-0.3,7.3,7.3,7,7.1,223256,1585307,41,7.65,-4.1,7
21/01/2016,EXPON0000,,7.3,7,0.3,7,7.3,7,7.11,87597,622998,35,24.96,4.28,7.3
22/01/2016,EXPON0000,,7.3,7.3,0,7.3,7.4,7.2,7.29,40845,297699,23,24.96,0,7.3
25/01/2016,EXPON0000,,7.2,7.3,-0.1,7.3,7.4,7.1,7.25,44700,324140,21,23.5,-1.36,7.2
26/01/2016,EXPON0000,,7.2,7.2,0,7.2,7.2,7.2,7.2,80300,578160,6,23.5,0,7.2
27/01/2016,EXPON0000,,7.4,7.2,0.2,7.3,7.4,7.2,7.35,23900,175690,8,33.31,2.77,7.4
28/01/2016,EXPON0000,,7.3,7.4,-0.1,7.3,7.3,7.3,7.3,1600,11680,4,31.56,-1.35,7.3
29/01/2016,EXPON0000,,7.4,7.3,0.1,7.2,7.6,7.2,7.35,47293,347800,27,35.01,1.36,7.4
01/02/2016,EXPON0000,,7.5,7.4,0.1,7.6,7.6,7.4,7.5,24033,180208,13,38.09,1.35,7.5
02/02/2016,EXPON0000,,7.8,7.5,0.3,7.5,8.3,7.5,8.3,314103107,2606913239,71,50,4,7.8
03/02/2016,EXPON0000,,7.7,7.8,-0.1,7.9,7.9,7.6,7.71,94303,727383,38,45.45,-1.28,7.7
05/02/2016,EXPON0000,,7.7,7.7,0,7.7,7.8,7.6,7.7,26140,201283,13,50,0,7.7
08/02/2016,EXPON0000,,7.5,7.7,-0.2,7.6,7.6,7.5,7.53,84720,637757,29,52.65,-2.59,7.5
09/02/2016,EXPON0000,,7.3,7.5,-0.2,7.4,7.5,7.3,7.37,7546,55620,14,50,-2.66,7.3
10/02/2016,EXPON0000,,7.3,7.3,0,7.5,7.5,7.3,7.3,50129,366050,15,58.81,0,7.3
11/02/2016,EXPON0000,,7.2,7.3,-0.1,7.2,7.2,7.2,7.2,37410,269352,19,46.69,-1.36,7.2
12/02/2016,EXPON0000,,7.2,7.2,0,7.2,7.2,7.1,7.17,15511,111237,11,46.69,0,7.2
15/02/2016,EXPON0000,,7.1,7.2,-0.1,7.1,7.2,7,7.04,70500,496423,17,46.69,-1.38,7.1
16/02/2016,EXPON0000,,7.1,7.1,0,7.2,7.3,7.1,7.25,68712,498230,15,46.69,0,7.1
17/02/2016,EXPON0000,,7,7.1,-0.1,7.1,7.1,7,7,111850,783235,38,35.74,-1.4,7
18/02/2016,EXPON0000,,7,7,0,7.2,7.2,7,7,118236,827659,26,38.47,0,7
19/02/2016,EXPON0000,,7.1,7,0.1,7,7.1,7,7.01,57200,400980,16,38.47,1.42,7.1
23/02/2016,EXPON0000,,7.1,7.1,0,7,7.1,6.9,6.94,40391,280497,18,33.29,0,7.1
24/02/2016,EXPON0000,,6.9,7.1,-0.2,7,7,6.9,6.92,30044,207904,14,9.04,-2.81,6.9
25/02/2016,EXPON0000,,6.9,6.9,0,6.9,6.9,6.9,6.9,1000,6900,1,9.96,0,6.9
26/02/2016,EXPON0000,,7.1,6.9,0.2,7.1,7.1,7,7.1,1207,8569,3,25,2.89,7.1
29/02/2016,EXPON0000,,7.1,7.1,0,7,7.1,7,7.1,22837,162043,7,29.97,0,7.1
01/03/2016,EXPON0000,,6.8,7.1,-0.3,7,7,6.8,6.83,164790,1125494,32,27.26,-4.22,6.8
02/03/2016,EXPON0000,,6.7,6.8,-0.1,7,7,6.6,6.67,83823,559055,29,25,-1.47,6.7
03/03/2016,EXPON0000,,6.6,6.7,-0.1,6.7,6.7,6.6,6.69,22300,149210,12,25,-1.49,6.6
04/03/2016,EXPON0000,,6.8,6.6,0.2,6.7,6.8,6.7,6.73,3275,22053,10,35.74,3.03,6.8
08/03/2016,EXPON0000,,6.7,6.8,-0.1,6.7,6.7,6.6,6.64,82800,549841,22,35.74,-1.47,6.7
09/03/2016,EXPON0000,,6.5,6.7,-0.2,6.6,6.6,5.9,6.38,378084,2413166,49,31.26,-2.98,6.5
10/03/2016,EXPON0000,,6.7,6.5,0.2,6.5,6.7,6.5,6.65,16330,108625,20,41.19,3.07,6.7
