Date,Security,EX,Close,PrevClose,Cha,Open,High,Low,Avg,Volume,Turnover,Trns,RSI,Return,DilutedPrice
2019-11-06,EXPON0000,,5.20,5.30,-0.10,5.30,5.30,5.10,5.22,"124810","651793",22,50.00,-1.88,5.20
2019-11-07,EXPON0000,,5.10,5.20,-0.10,5.20,5.20,5.10,5.12,"131400","672210",27,44.39,-1.92,5.10
2019-11-08,EXPON0000,,5.10,5.10,0.00,5.10,5.10,5.00,5.06,"54708","277061",23,44.39,0.00,5.10
2019-11-13,EXPON0000,,5.20,5.10,0.10,5.10,5.20,5.00,5.11,"53140","271561",19,55.61,1.96,5.20
2019-11-14,EXPON0000,,5.00,5.20,-0.20,5.20,5.20,5.00,5.03,"253300","1274441",69,45.48,-3.84,5.00
2019-11-15,EXPON0000,,5.10,5.00,0.10,5.10,5.20,5.00,5.11,"584520","2984802",41,45.48,2.00,5.10
2019-11-18,EXPON0000,,5.00,5.10,-0.10,5.30,5.30,5.00,5.10,"1283793","6546127",111,41.66,-1.96,5.00
2019-11-19,EXPON0000,,5.20,5.00,0.20,5.00,5.20,5.00,5.11,"128002","653731",36,53.88,4.00,5.20
2019-11-20,EXPON0000,,5.20,5.20,0.00,5.20,5.20,5.00,5.13,"164820","845913",34,50.00,0.00,5.20
2019-11-21,EXPON0000,,5.20,5.20,0.00,5.00,5.20,5.00,5.04,"65220","328564",31,50.00,0.00,5.20
2019-11-22,EXPON0000,,5.10,5.20,-0.10,5.20,5.20,5.00,5.10,"94644","482772",30,46.12,-1.92,5.10
2019-11-25,EXPON0000,,5.20,5.10,0.10,5.20,5.20,5.00,5.12,"50438","258378",11,53.88,1.96,5.20
2019-11-26,EXPON0000,,5.20,5.20,0.00,5.10,5.20,5.10,5.16,"11304","58281",13,50.00,0.00,5.20
2019-11-27,EXPON0000,,5.20,5.20,0.00,5.10,5.20,5.10,5.10,"26603","135686",11,45.48,0.00,5.20
2019-11-28,EXPON0000,,5.30,5.20,0.10,5.20,5.30,5.10,5.25,"585377","3075077",65,54.52,1.92,5.30
2019-11-29,EXPON0000,,5.20,5.30,-0.10,5.20,5.20,5.00,5.16,"927275","4782015",53,54.52,-1.88,5.20
2019-12-02,EXPON0000,,5.20,5.20,0.00,5.20,5.30,5.20,5.20,"41331","214922",14,54.52,0.00,5.20
2019-12-03,EXPON0000,,5.20,5.20,0.00,5.20,5.30,5.10,5.20,"512879","2666473",22,50.00,0.00,5.20
2019-12-04,EXPON0000,,5.20,5.20,0.00,5.20,5.20,5.10,5.20,"1133712","5890301",26,62.52,0.00,5.20
2019-12-05,EXPON0000,,5.10,5.20,-0.10,5.20,5.20,5.00,5.07,"599689","3039315",33,50.00,-1.92,5.10
2019-12-06,EXPON0000,,5.10,5.10,0.00,5.10,5.10,5.00,5.01,"1028055","5146855",55,57.11,0.00,5.10
2019-12-09,EXPON0000,,5.10,5.10,0.00,5.20,5.20,5.00,5.07,"5760","29186",10,39.89,0.00,5.10
2019-12-10,EXPON0000,,5.10,5.10,0.00,5.00,5.10,5.00,5.00,"21141","105769",8,39.89,0.00,5.10
2019-12-12,EXPON0000,,5.20,5.10,0.10,5.00,5.20,5.00,5.17,"63727","329769",7,50.00,1.96,5.20
2019-12-13,EXPON0000,,5.10,5.20,-0.10,5.10,5.10,5.00,5.10,"153015","780055",31,50.00,-1.92,5.10
2019-12-16,EXPON0000,,5.00,5.10,-0.10,5.00,5.10,5.00,5.00,"526686","2633489",51,33.26,-1.96,5.00
2019-12-17,EXPON0000,,5.00,5.00,0.00,5.00,5.00,5.00,5.00,"51735","258675",4,33.26,0.00,5.00
2019-12-18,EXPON0000,,5.10,5.00,0.10,5.10,5.10,5.00,5.00,"60818","304362",10,42.89,2.00,5.10
2019-12-19,EXPON0000,,5.10,5.10,0.00,5.10,5.10,5.00,5.09,"7730","39323",10,33.26,0.00,5.10
2019-12-20,EXPON0000,,4.90,5.10,-0.20,5.00,5.00,4.80,4.94,"1094755","5405499",94,28.46,-3.92,4.90
2019-12-23,EXPON0000,,4.90,4.90,0.00,4.90,4.90,4.80,4.90,"73100","358155",54,28.46,0.00,4.90
2019-12-24,EXPON0000,,4.90,4.90,0.00,5.00,5.00,4.90,4.90,"29856","146295",30,28.46,0.00,4.90
2019-12-26,EXPON0000,,5.00,4.90,0.10,5.00,5.00,4.90,4.95,"25254","125016",31,37.48,2.04,5.00
2019-12-27,EXPON0000,,5.00,5.00,0.00,4.90,5.00,4.90,4.90,"45102","221060",16,42.89,0.00,5.00
2019-12-30,EXPON0000,,5.00,5.00,0.00,5.00,5.10,4.80,5.00,"56035","280203",29,42.89,0.00,5.00
2019-12-31,EXPON0000,,5.10,5.00,0.10,5.00,5.10,4.90,4.91,"51555","253224",12,50.00,2.00,5.10
2020-01-02,EXPON0000,,5.10,5.10,0.00,5.00,5.10,4.80,4.97,"36620","182100",19,50.00,0.00,5.10
2020-01-03,EXPON0000,,4.90,5.10,-0.20,5.00,5.10,4.90,4.91,"17703","86875",9,33.33,-3.92,4.90
2020-01-06,EXPON0000,,5.00,4.90,0.10,4.90,5.10,4.90,4.94,"4540","22444",6,44.39,2.04,5.00
