Date,Security,EX,Close,PrevClose,Cha,Open,High,Low,Avg,Volume,Turnover,Trns,RSI,Return,DilutedPrice
2020-11-06,LOLCN0000,,135.90,135.00,0.90,136.50,139.00,135.00,136.87,"504493","69051525",495,55.44,0.66,135.90
2020-11-09,LOLCN0000,,132.60,135.90,-3.30,136.20,136.20,130.20,132.44,"212107","28090773",177,50.72,-2.42,132.60
2020-11-10,LOLCN0000,,131.60,132.60,-1.00,132.90,134.00,131.00,131.62,"62002","8160433",80,52.49,-0.75,131.60
2020-11-11,LOLCN0000,,131.30,131.60,-0.30,132.00,132.40,130.00,130.78,"67412","8815921",78,64.13,-0.22,131.30
2020-11-12,LOLCN0000,,129.90,131.30,-1.40,131.10,131.90,129.00,130.19,"43167","5620070",85,61.29,-1.06,129.90
2020-11-13,LOLCN0000,,133.00,129.90,3.10,129.90,134.00,129.90,133.18,"167250","22274314",170,64.13,2.38,133.00
2020-11-16,LOLCN0000,,132.60,133.00,-0.40,136.00,138.00,132.40,135.21,"123955","16760124",180,68.01,-0.30,132.60
2020-11-17,LOLCN0000,,133.00,132.60,0.40,133.00,133.50,131.00,132.93,"121166","16105999",74,68.20,0.30,133.00
2020-11-18,LOLCN0000,,130.80,133.00,-2.20,132.50,132.60,130.10,130.96,"41340","5413840",88,67.23,-1.65,130.80
2020-11-19,LOLCN0000,,130.00,130.80,-0.80,130.10,130.50,129.80,130.00,"27618","3590219",57,61.01,-0.61,130.00
2020-11-20,LOLCN0000,,130.80,130.00,0.80,130.00,131.90,130.00,130.58,"19769","2581365",43,68.24,0.61,130.80
2020-11-23,LOLCN0000,,129.10,130.80,-1.70,130.10,131.00,128.40,129.24,"23552","3043888",79,62.37,-1.29,129.10
2020-11-24,LOLCN0000,,129.90,129.10,0.80,130.00,131.00,129.00,129.95,"66063","8585166",68,57.14,0.61,129.90
2020-11-25,LOLCN0000,,129.50,129.90,-0.40,130.00,130.00,129.10,129.25,"25966","3356210",68,34.28,-0.30,129.50
2020-11-26,LOLCN0000,,130.80,129.50,1.30,129.20,132.00,129.00,130.12,"437331","56904311",152,35.75,1.00,130.80
2020-11-27,LOLCN0000,,133.00,130.80,2.20,132.00,135.30,132.00,133.84,"35481","4748779",84,51.19,1.68,133.00
2020-11-30,LOLCN0000,,131.60,133.00,-1.40,133.00,133.00,130.20,131.65,"37704","4963829",59,50.00,-1.05,131.60
2020-12-01,LOLCN0000,,132.80,131.60,1.20,131.00,134.00,131.00,132.66,"165657","21976816",176,54.15,0.91,132.80
2020-12-02,LOLCN0000,,133.90,132.80,1.10,134.00,135.20,133.00,134.23,"107646","14449065",132,61.24,0.82,133.90
2020-12-03,LOLCN0000,,132.10,133.90,-1.80,134.00,134.50,131.50,132.97,"50390","6700387",53,47.27,-1.34,132.10
2020-12-04,LOLCN0000,,133.50,132.10,1.40,133.00,133.90,133.00,133.43,"32376","4320021",52,52.57,1.05,133.50
2020-12-07,LOLCN0000,,135.80,133.50,2.30,134.00,136.60,133.00,134.87,"210908","28445091",211,57.22,1.72,135.80
2020-12-08,LOLCN0000,,138.10,135.80,2.30,136.50,140.00,136.50,138.49,"258220","35761622",257,68.72,1.69,138.10
2020-12-09,LOLCN0000,,142.10,138.10,4.00,139.80,146.70,136.60,141.02,"1443610","203581114","1035",76.65,2.89,142.10
