Date,Security,EX,Close,PrevClose,Cha,Open,High,Low,Avg,Volume,Turnover,Trns,RSI,Return,DilutedPrice
2019-11-06,LOLCN0000,,118.00,117.80,0.20,120.00,120.00,118.00,118.93,"2628","312547",7,40.76,0.16,118.00
2019-11-07,LOLCN0000,,118.00,118.00,0.00,120.00,120.00,118.00,118.03,"2280","269118",6,48.70,0.00,118.00
2019-11-08,LOLCN0000,,117.00,118.00,-1.00,121.00,121.00,117.00,118.74,"3073","364900",13,53.58,-0.84,117.00
2019-11-13,LOLCN0000,,118.00,117.00,1.00,118.00,118.00,117.90,117.96,"2200","259510",4,63.91,0.85,118.00
2019-11-14,LOLCN0000,,118.10,118.00,0.10,118.00,118.10,118.00,118.10,"1210","142900",4,62.21,0.08,118.10
2019-11-15,LOLCN0000,,119.00,118.10,0.90,119.00,119.00,116.00,117.53,"10251","1204827",17,67.18,0.76,119.00
2019-11-18,LOLCN0000,,122.70,119.00,3.70,120.00,123.00,120.00,120.94,"62779","7592495",38,73.29,3.10,122.70
2019-11-19,LOLCN0000,,121.80,122.70,-0.90,122.00,122.00,119.00,121.21,399,"48361",3,64.87,-0.73,121.80
2019-11-20,LOLCN0000,,119.80,121.80,-2.00,119.10,120.00,119.00,119.96,"31660","3798040",10,50.35,-1.64,119.80
2019-11-21,LOLCN0000,,117.60,119.80,-2.20,119.00,121.00,117.60,118.11,"1463","172797",7,45.91,-1.83,117.60
2019-11-22,LOLCN0000,,117.40,117.60,-0.20,117.50,119.80,117.00,117.44,"3657","429471",16,41.33,-0.17,117.40
2019-11-25,LOLCN0000,,117.00,117.40,-0.40,119.70,119.70,117.00,118.34,201,"23787",4,39.07,-0.34,117.00
2019-11-26,LOLCN0000,,113.70,117.00,-3.30,118.70,118.70,113.60,114.14,"1101","125669",8,33.14,-2.82,113.70
2019-11-27,LOLCN0000,,113.70,113.70,0.00,119.40,119.40,119.40,119.40,8,955,1,37.11,0.00,113.70
2019-11-28,LOLCN0000,,117.50,113.70,3.80,115.00,117.50,114.00,115.72,"6102","706117",10,48.72,3.34,117.50
2019-11-29,LOLCN0000,,117.50,117.50,0.00,114.00,117.50,114.00,117.35,"1599","187642",10,48.72,0.00,117.50
2019-12-02,LOLCN0000,,117.50,117.50,0.00,117.50,117.50,117.50,117.50,"1000","117500",3,51.35,0.00,117.50
2019-12-03,LOLCN0000,,115.00,117.50,-2.50,115.00,115.10,115.00,115.04,350,"40264",7,42.50,-2.12,115.00
2019-12-04,LOLCN0000,,116.10,115.00,1.10,115.20,117.30,114.00,114.96,"14824","1704105",22,45.24,0.95,116.10
2019-12-05,LOLCN0000,,117.00,116.10,0.90,117.30,117.30,117.00,117.02,540,"63192",4,45.24,0.77,117.00
2019-12-06,LOLCN0000,,113.30,117.00,-3.70,113.30,113.30,113.30,113.30,500,"56650",2,27.62,-3.16,113.30
2019-12-09,LOLCN0000,,117.80,113.30,4.50,117.00,117.90,117.00,117.83,130,"15318",2,41.87,3.97,117.80
2019-12-10,LOLCN0000,,114.00,117.80,-3.80,114.50,114.50,114.00,114.20,"12559","1434228",21,39.01,-3.22,114.00
2019-12-12,LOLCN0000,,127.70,114.00,13.70,116.80,129.00,116.80,125.77,"327956","41246224",421,63.32,12.01,127.70
2019-12-13,LOLCN0000,,128.10,127.70,0.40,129.00,133.90,127.60,129.85,"87381","11346657",225,64.04,0.31,128.10
2019-12-16,LOLCN0000,,126.70,128.10,-1.40,128.00,129.00,126.30,127.98,"33488","4285796",91,62.40,-1.09,126.70
2019-12-17,LOLCN0000,,125.20,126.70,-1.50,126.10,126.10,123.50,125.02,"4656","582083",29,65.42,-1.18,125.20
2019-12-18,LOLCN0000,,125.00,125.20,-0.20,124.80,126.50,124.70,124.87,"2420","302184",12,65.07,-0.15,125.00
2019-12-19,LOLCN0000,,127.30,125.00,2.30,125.00,127.90,125.00,126.55,"6453","816617",22,63.61,1.84,127.30
2019-12-20,LOLCN0000,,126.70,127.30,-0.60,128.00,128.00,125.30,126.66,"34961","4428296",20,62.57,-0.47,126.70
2019-12-23,LOLCN0000,,126.00,126.70,-0.70,128.00,128.00,126.00,127.20,995,"126562",9,61.40,-0.55,126.00
2019-12-24,LOLCN0000,,127.00,126.00,1.00,127.50,127.80,126.10,126.51,980,"123978",5,66.76,0.79,127.00
2019-12-26,LOLCN0000,,129.00,127.00,2.00,126.10,132.00,126.10,127.99,"7785","996396",30,67.57,1.57,129.00
