,name,points,constructorID,year,totalpoints,proptotalpoints
0,Red Bull,460,red_bull,2012,2020,0.22772277227722773
1,Ferrari,400,ferrari,2012,2020,0.19801980198019803
2,McLaren,378,mclaren,2012,2020,0.18712871287128713
3,Alpine F1 Team,303,alpine,2012,2020,0.15
4,Mercedes,142,mercedes,2012,2020,0.0702970297029703
5,Alfa Romeo,126,alfa,2012,2020,0.062376237623762376
6,Aston Martin,109,aston_martin,2012,2020,0.05396039603960396
7,Williams,76,williams,2012,2020,0.03762376237623762
8,AlphaTauri,26,alphatauri,2012,2020,0.01287128712871287
0,Red Bull,596,red_bull,2013,1919,0.310578426263679
1,Mercedes,360,mercedes,2013,1919,0.18759770713913496
2,Ferrari,354,ferrari,2013,1919,0.18447107868681606
3,Alpine F1 Team,315,alpine,2013,1919,0.1641479937467431
4,McLaren,122,mclaren,2013,1919,0.06357477853048463
5,Aston Martin,77,aston_martin,2013,1919,0.040125065138092754
6,Alfa Romeo,57,alfa,2013,1919,0.0297029702970297
7,AlphaTauri,33,alphatauri,2013,1919,0.017196456487754037
8,Williams,5,williams,2013,1919,0.0026055237102657635
0,Mercedes,701,mercedes,2014,2018,0.34737363726461845
1,Red Bull,405,red_bull,2014,2018,0.20069375619425173
2,Williams,320,williams,2014,2018,0.15857284440039643
3,Ferrari,216,ferrari,2014,2018,0.10703666997026759
4,McLaren,181,mclaren,2014,2018,0.08969276511397423
5,Aston Martin,155,aston_martin,2014,2018,0.07680872150644202
6,AlphaTauri,30,alphatauri,2014,2018,0.014866204162537165
7,Alpine F1 Team,10,alpine,2014,2018,0.004955401387512388
9,Alfa Romeo,0,alfa,2014,2018,0.0
0,Mercedes,703,mercedes,2015,1919,0.36633663366336633
1,Ferrari,428,ferrari,2015,1919,0.22303282959874934
2,Williams,257,williams,2015,1919,0.13392391870766024
3,Red Bull,187,red_bull,2015,1919,0.09744658676393955
4,Aston Martin,136,aston_martin,2015,1919,0.07087024491922876
5,Alpine F1 Team,78,alpine,2015,1919,0.04064616988014591
6,AlphaTauri,67,alphatauri,2015,1919,0.03491401771756123
7,Alfa Romeo,36,alfa,2015,1919,0.018759770713913496
8,McLaren,27,mclaren,2015,1919,0.014069828035435123
0,Mercedes,765,mercedes,2016,2091,0.36585365853658536
1,Red Bull,468,red_bull,2016,2091,0.22381635581061693
2,Ferrari,398,ferrari,2016,2091,0.19033955045432807
3,Aston Martin,173,aston_martin,2016,2091,0.08273553323768532
4,Williams,138,williams,2016,2091,0.06599713055954089
5,McLaren,76,mclaren,2016,2091,0.03634624581539933
6,AlphaTauri,63,alphatauri,2016,2091,0.03012912482065997
8,Alpine F1 Team,8,alpine,2016,2091,0.003825920612147298
9,Alfa Romeo,2,alfa,2016,2091,0.0009564801530368245
0,Mercedes,668,mercedes,2017,1973,0.3385707045108971
1,Ferrari,522,ferrari,2017,1973,0.2645717181956412
2,Red Bull,368,red_bull,2017,1973,0.1865179929042068
3,Aston Martin,187,aston_martin,2017,1973,0.09477952356817029
4,Williams,83,williams,2017,1973,0.04206791687785099
5,Alpine F1 Team,57,alpine,2017,1973,0.02889001520527116
6,AlphaTauri,53,alphatauri,2017,1973,0.026862645717181957
8,McLaren,30,mclaren,2017,1973,0.015205271160669031
9,Alfa Romeo,5,alfa,2017,1973,0.002534211860111505
0,Mercedes,655,mercedes,2018,1969,0.3326561706449975
1,Ferrari,571,ferrari,2018,1969,0.2899949212798375
2,Red Bull,419,red_bull,2018,1969,0.212798374809548
3,Alpine F1 Team,122,alpine,2018,1969,0.061960385982732354
5,McLaren,62,mclaren,2018,1969,0.03148806500761808
6,Aston Martin,52,aston_martin,2018,1969,0.026409344845099034
7,Alfa Romeo,48,alfa,2018,1969,0.02437785678009142
8,AlphaTauri,33,alphatauri,2018,1969,0.01675977653631285
9,Williams,7,williams,2018,1969,0.0035551041137633316
0,Mercedes,739,mercedes,2019,2112,0.34990530303030304
1,Ferrari,504,ferrari,2019,2112,0.23863636363636365
2,Red Bull,417,red_bull,2019,2112,0.19744318181818182
3,McLaren,145,mclaren,2019,2112,0.06865530303030302
4,Alpine F1 Team,91,alpine,2019,2112,0.043087121212121215
5,AlphaTauri,85,alphatauri,2019,2112,0.04024621212121212
6,Aston Martin,73,aston_martin,2019,2112,0.034564393939393936
7,Alfa Romeo,57,alfa,2019,2112,0.026988636363636364
9,Williams,1,williams,2019,2112,0.0004734848484848485
0,Mercedes,573,mercedes,2020,1716,0.3339160839160839
1,Red Bull,319,red_bull,2020,1716,0.1858974358974359
2,McLaren,202,mclaren,2020,1716,0.11771561771561771
3,Aston Martin,195,aston_martin,2020,1716,0.11363636363636363
4,Alpine F1 Team,181,alpine,2020,1716,0.10547785547785547
5,Ferrari,131,ferrari,2020,1716,0.07634032634032634
6,AlphaTauri,107,alphatauri,2020,1716,0.06235431235431235
7,Alfa Romeo,8,alfa,2020,1716,0.004662004662004662
9,Williams,0,williams,2020,1716,0.0
