areaCode,areaName,areaType,date,cumCasesByPublishDate
K02000001,United Kingdom,overview,2021-10-22,11000000
K02000001,United Kingdom,overview,2021-10-21,10000000
K02000001,United Kingdom,overview,2021-10-20,9000000
K02000001,United Kingdom,overview,2021-10-13,8272883
K02000001,United Kingdom,overview,2021-10-12,8231437
K02000001,United Kingdom,overview,2021-10-11,8193769
K02000001,United Kingdom,overview,2021-10-10,8154306
K02000001,United Kingdom,overview,2021-10-09,8120713
K02000001,United Kingdom,overview,2021-10-08,8087005
K02000001,United Kingdom,overview,2021-10-07,8046390
K02000001,United Kingdom,overview,2021-10-06,8006660
K02000001,United Kingdom,overview,2021-10-05,7967985
K02000001,United Kingdom,overview,2021-10-04,7934936
K02000001,United Kingdom,overview,2021-10-03,7900680
K02000001,United Kingdom,overview,2021-10-02,7871014
K02000001,United Kingdom,overview,2021-10-01,7841625
K02000001,United Kingdom,overview,2021-09-30,7807036
K02000001,United Kingdom,overview,2021-09-29,7771294
K02000001,United Kingdom,overview,2021-09-28,7736235
K02000001,United Kingdom,overview,2021-09-27,7701715
K02000001,United Kingdom,overview,2021-09-26,7664230
K02000001,United Kingdom,overview,2021-09-25,7632353
K02000001,United Kingdom,overview,2021-09-24,7601487
K02000001,United Kingdom,overview,2021-09-23,7565867
K02000001,United Kingdom,overview,2021-09-22,7530103
K02000001,United Kingdom,overview,2021-09-21,7496543
K02000001,United Kingdom,overview,2021-09-20,7465448
K02000001,United Kingdom,overview,2021-09-19,7429746
K02000001,United Kingdom,overview,2021-09-18,7400739
K02000001,United Kingdom,overview,2021-09-17,7371301
K02000001,United Kingdom,overview,2021-09-16,7339009
K02000001,United Kingdom,overview,2021-09-15,7312683
K02000001,United Kingdom,overview,2021-09-14,7282810
K02000001,United Kingdom,overview,2021-09-13,7256559
K02000001,United Kingdom,overview,2021-09-12,7226276
K02000001,United Kingdom,overview,2021-09-11,7197662
K02000001,United Kingdom,overview,2021-09-10,7168806
K02000001,United Kingdom,overview,2021-09-09,7132072
K02000001,United Kingdom,overview,2021-09-08,7094592
K02000001,United Kingdom,overview,2021-09-07,7056106
K02000001,United Kingdom,overview,2021-09-06,7018927
K02000001,United Kingdom,overview,2021-09-05,6978126
K02000001,United Kingdom,overview,2021-09-04,6941611
K02000001,United Kingdom,overview,2021-09-03,6904969
K02000001,United Kingdom,overview,2021-09-02,6862904
K02000001,United Kingdom,overview,2021-09-01,6825074
K02000001,United Kingdom,overview,2021-08-31,6789581
K02000001,United Kingdom,overview,2021-08-30,6757650
K02000001,United Kingdom,overview,2021-08-29,6731423
K02000001,United Kingdom,overview,2021-08-28,6698486
K02000001,United Kingdom,overview,2021-08-27,6666399
K02000001,United Kingdom,overview,2021-08-26,6628709
K02000001,United Kingdom,overview,2021-08-25,6590747
K02000001,United Kingdom,overview,2021-08-24,6555200
K02000001,United Kingdom,overview,2021-08-23,6524581
K02000001,United Kingdom,overview,2021-08-22,6492906
K02000001,United Kingdom,overview,2021-08-21,6460930
K02000001,United Kingdom,overview,2021-08-20,6429147
K02000001,United Kingdom,overview,2021-08-19,6392160
K02000001,United Kingdom,overview,2021-08-18,6355887
K02000001,United Kingdom,overview,2021-08-17,6322241
K02000001,United Kingdom,overview,2021-08-16,6295613
K02000001,United Kingdom,overview,2021-08-15,6267437
K02000001,United Kingdom,overview,2021-08-14,6241011
K02000001,United Kingdom,overview,2021-08-13,6211868
