,driver,points,driverID,race,race_country
0,Lewis Hamilton,25,hamilton,1,Bahrain
1,Max Verstappen,18,max_verstappen,1,Bahrain
2,Valtteri Bottas,16,bottas,1,Bahrain
3,Lando Norris,12,norris,1,Bahrain
4,Sergio Pérez,10,perez,1,Bahrain
5,Charles Leclerc,8,leclerc,1,Bahrain
6,Daniel Ricciardo,6,ricciardo,1,Bahrain
7,Carlos Sainz,4,sainz,1,Bahrain
8,Yuki Tsunoda,2,tsunoda,1,Bahrain
9,Lance Stroll,1,stroll,1,Bahrain
10,Kimi Räikkönen,0,raikkonen,1,Bahrain
11,Antonio Giovinazzi,0,giovinazzi,1,Bahrain
12,Esteban Ocon,0,ocon,1,Bahrain
13,George Russell,0,russell,1,Bahrain
14,Sebastian Vettel,0,vettel,1,Bahrain
15,Mick Schumacher,0,mick_schumacher,1,Bahrain
16,Pierre Gasly,0,gasly,1,Bahrain
17,Nicholas Latifi,0,latifi,1,Bahrain
18,Fernando Alonso,0,alonso,1,Bahrain
19,Nikita Mazepin,0,mazepin,1,Bahrain
0,Lewis Hamilton,44,hamilton,2,Italy
1,Max Verstappen,43,max_verstappen,2,Italy
2,Lando Norris,27,norris,2,Italy
3,Charles Leclerc,20,leclerc,2,Italy
4,Valtteri Bottas,16,bottas,2,Italy
5,Carlos Sainz,14,sainz,2,Italy
6,Daniel Ricciardo,14,ricciardo,2,Italy
7,Sergio Pérez,10,perez,2,Italy
8,Pierre Gasly,6,gasly,2,Italy
9,Lance Stroll,5,stroll,2,Italy
10,Yuki Tsunoda,2,tsunoda,2,Italy
11,Esteban Ocon,2,ocon,2,Italy
12,Fernando Alonso,1,alonso,2,Italy
13,Kimi Räikkönen,0,raikkonen,2,Italy
14,Antonio Giovinazzi,0,giovinazzi,2,Italy
15,George Russell,0,russell,2,Italy
16,Sebastian Vettel,0,vettel,2,Italy
17,Mick Schumacher,0,mick_schumacher,2,Italy
18,Nikita Mazepin,0,mazepin,2,Italy
19,Nicholas Latifi,0,latifi,2,Italy
0,Lewis Hamilton,69,hamilton,3,Portugal
1,Max Verstappen,61,max_verstappen,3,Portugal
2,Lando Norris,37,norris,3,Portugal
3,Valtteri Bottas,32,bottas,3,Portugal
4,Charles Leclerc,28,leclerc,3,Portugal
5,Sergio Pérez,22,perez,3,Portugal
6,Daniel Ricciardo,16,ricciardo,3,Portugal
7,Carlos Sainz,14,sainz,3,Portugal
8,Esteban Ocon,8,ocon,3,Portugal
9,Pierre Gasly,7,gasly,3,Portugal
10,Lance Stroll,5,stroll,3,Portugal
11,Fernando Alonso,5,alonso,3,Portugal
12,Yuki Tsunoda,2,tsunoda,3,Portugal
13,Kimi Räikkönen,0,raikkonen,3,Portugal
14,Antonio Giovinazzi,0,giovinazzi,3,Portugal
15,Sebastian Vettel,0,vettel,3,Portugal
16,George Russell,0,russell,3,Portugal
17,Mick Schumacher,0,mick_schumacher,3,Portugal
18,Nikita Mazepin,0,mazepin,3,Portugal
19,Nicholas Latifi,0,latifi,3,Portugal
0,Lewis Hamilton,94,hamilton,4,Spain
1,Max Verstappen,80,max_verstappen,4,Spain
2,Valtteri Bottas,47,bottas,4,Spain
3,Lando Norris,41,norris,4,Spain
4,Charles Leclerc,40,leclerc,4,Spain
5,Sergio Pérez,32,perez,4,Spain
6,Daniel Ricciardo,24,ricciardo,4,Spain
7,Carlos Sainz,20,sainz,4,Spain
8,Esteban Ocon,10,ocon,4,Spain
9,Pierre Gasly,8,gasly,4,Spain
10,Lance Stroll,5,stroll,4,Spain
11,Fernando Alonso,5,alonso,4,Spain
12,Yuki Tsunoda,2,tsunoda,4,Spain
13,Kimi Räikkönen,0,raikkonen,4,Spain
14,Antonio Giovinazzi,0,giovinazzi,4,Spain
15,Sebastian Vettel,0,vettel,4,Spain
16,George Russell,0,russell,4,Spain
17,Mick Schumacher,0,mick_schumacher,4,Spain
18,Nicholas Latifi,0,latifi,4,Spain
19,Nikita Mazepin,0,mazepin,4,Spain
0,Max Verstappen,105,max_verstappen,5,Monaco
1,Lewis Hamilton,101,hamilton,5,Monaco
2,Lando Norris,56,norris,5,Monaco
3,Valtteri Bottas,47,bottas,5,Monaco
4,Sergio Pérez,44,perez,5,Monaco
5,Charles Leclerc,40,leclerc,5,Monaco
6,Carlos Sainz,38,sainz,5,Monaco
7,Daniel Ricciardo,24,ricciardo,5,Monaco
8,Pierre Gasly,16,gasly,5,Monaco
9,Esteban Ocon,12,ocon,5,Monaco
10,Sebastian Vettel,10,vettel,5,Monaco
11,Lance Stroll,9,stroll,5,Monaco
12,Fernando Alonso,5,alonso,5,Monaco
13,Yuki Tsunoda,2,tsunoda,5,Monaco
14,Antonio Giovinazzi,1,giovinazzi,5,Monaco
15,Kimi Räikkönen,0,raikkonen,5,Monaco
16,George Russell,0,russell,5,Monaco
17,Nicholas Latifi,0,latifi,5,Monaco
18,Mick Schumacher,0,mick_schumacher,5,Monaco
19,Nikita Mazepin,0,mazepin,5,Monaco
0,Max Verstappen,105,max_verstappen,6,Azerbaijan
1,Lewis Hamilton,101,hamilton,6,Azerbaijan
2,Sergio Pérez,69,perez,6,Azerbaijan
3,Lando Norris,66,norris,6,Azerbaijan
4,Charles Leclerc,52,leclerc,6,Azerbaijan
5,Valtteri Bottas,47,bottas,6,Azerbaijan
6,Carlos Sainz,42,sainz,6,Azerbaijan
7,Pierre Gasly,31,gasly,6,Azerbaijan
8,Sebastian Vettel,28,vettel,6,Azerbaijan
9,Daniel Ricciardo,26,ricciardo,6,Azerbaijan
10,Fernando Alonso,13,alonso,6,Azerbaijan
11,Esteban Ocon,12,ocon,6,Azerbaijan
12,Lance Stroll,9,stroll,6,Azerbaijan
