,driver,points,driverID,race,race_country
0,Lewis Hamilton,25,hamilton,1,Bahrain
1,Max Verstappen,18,max_verstappen,1,Bahrain
2,Valtteri Bottas,16,bottas,1,Bahrain
3,Lando Norris,12,norris,1,Bahrain
4,Sergio Pérez,10,perez,1,Bahrain
5,Charles Leclerc,8,leclerc,1,Bahrain
6,Daniel Ricciardo,6,ricciardo,1,Bahrain
7,Carlos Sainz,4,sainz,1,Bahrain
16,Pierre Gasly,0,gasly,1,Bahrain
18,Fernando Alonso,0,alonso,1,Bahrain
0,Lewis Hamilton,44,hamilton,2,Italy
1,Max Verstappen,43,max_verstappen,2,Italy
2,Lando Norris,27,norris,2,Italy
3,Charles Leclerc,20,leclerc,2,Italy
4,Valtteri Bottas,16,bottas,2,Italy
5,Carlos Sainz,14,sainz,2,Italy
6,Daniel Ricciardo,14,ricciardo,2,Italy
7,Sergio Pérez,10,perez,2,Italy
8,Pierre Gasly,6,gasly,2,Italy
12,Fernando Alonso,1,alonso,2,Italy
0,Lewis Hamilton,69,hamilton,3,Portugal
1,Max Verstappen,61,max_verstappen,3,Portugal
2,Lando Norris,37,norris,3,Portugal
3,Valtteri Bottas,32,bottas,3,Portugal
4,Charles Leclerc,28,leclerc,3,Portugal
5,Sergio Pérez,22,perez,3,Portugal
6,Daniel Ricciardo,16,ricciardo,3,Portugal
7,Carlos Sainz,14,sainz,3,Portugal
9,Pierre Gasly,7,gasly,3,Portugal
11,Fernando Alonso,5,alonso,3,Portugal
0,Lewis Hamilton,94,hamilton,4,Spain
1,Max Verstappen,80,max_verstappen,4,Spain
2,Valtteri Bottas,47,bottas,4,Spain
3,Lando Norris,41,norris,4,Spain
4,Charles Leclerc,40,leclerc,4,Spain
5,Sergio Pérez,32,perez,4,Spain
6,Daniel Ricciardo,24,ricciardo,4,Spain
7,Carlos Sainz,20,sainz,4,Spain
9,Pierre Gasly,8,gasly,4,Spain
11,Fernando Alonso,5,alonso,4,Spain
0,Max Verstappen,105,max_verstappen,5,Monaco
1,Lewis Hamilton,101,hamilton,5,Monaco
2,Lando Norris,56,norris,5,Monaco
3,Valtteri Bottas,47,bottas,5,Monaco
4,Sergio Pérez,44,perez,5,Monaco
5,Charles Leclerc,40,leclerc,5,Monaco
6,Carlos Sainz,38,sainz,5,Monaco
7,Daniel Ricciardo,24,ricciardo,5,Monaco
8,Pierre Gasly,16,gasly,5,Monaco
12,Fernando Alonso,5,alonso,5,Monaco
0,Max Verstappen,105,max_verstappen,6,Azerbaijan
1,Lewis Hamilton,101,hamilton,6,Azerbaijan
2,Sergio Pérez,69,perez,6,Azerbaijan
3,Lando Norris,66,norris,6,Azerbaijan
4,Charles Leclerc,52,leclerc,6,Azerbaijan
5,Valtteri Bottas,47,bottas,6,Azerbaijan
6,Carlos Sainz,42,sainz,6,Azerbaijan
7,Pierre Gasly,31,gasly,6,Azerbaijan
9,Daniel Ricciardo,26,ricciardo,6,Azerbaijan
10,Fernando Alonso,13,alonso,6,Azerbaijan
0,Max Verstappen,131,max_verstappen,7,France
1,Lewis Hamilton,119,hamilton,7,France
2,Sergio Pérez,84,perez,7,France
3,Lando Norris,76,norris,7,France
4,Valtteri Bottas,59,bottas,7,France
5,Charles Leclerc,52,leclerc,7,France
6,Carlos Sainz,42,sainz,7,France
7,Pierre Gasly,37,gasly,7,France
8,Daniel Ricciardo,34,ricciardo,7,France
10,Fernando Alonso,17,alonso,7,France
0,Max Verstappen,156,max_verstappen,8,Austria
1,Lewis Hamilton,138,hamilton,8,Austria
2,Sergio Pérez,96,perez,8,Austria
3,Lando Norris,86,norris,8,Austria
4,Valtteri Bottas,74,bottas,8,Austria
5,Charles Leclerc,58,leclerc,8,Austria
6,Carlos Sainz,50,sainz,8,Austria
7,Pierre Gasly,37,gasly,8,Austria
8,Daniel Ricciardo,34,ricciardo,8,Austria
10,Fernando Alonso,19,alonso,8,Austria
0,Max Verstappen,182,max_verstappen,9,Austria
1,Lewis Hamilton,150,hamilton,9,Austria
2,Sergio Pérez,104,perez,9,Austria
3,Lando Norris,101,norris,9,Austria
4,Valtteri Bottas,92,bottas,9,Austria
5,Charles Leclerc,62,leclerc,9,Austria
6,Carlos Sainz,60,sainz,9,Austria
7,Daniel Ricciardo,40,ricciardo,9,Austria
8,Pierre Gasly,39,gasly,9,Austria
10,Fernando Alonso,20,alonso,9,Austria
0,Max Verstappen,185,max_verstappen,10,Great Britain
1,Lewis Hamilton,177,hamilton,10,Great Britain
2,Lando Norris,113,norris,10,Great Britain
3,Valtteri Bottas,108,bottas,10,Great Britain
4,Sergio Pérez,104,perez,10,Great Britain
5,Charles Leclerc,80,leclerc,10,Great Britain
6,Carlos Sainz,68,sainz,10,Great Britain
7,Daniel Ricciardo,50,ricciardo,10,Great Britain
8,Pierre Gasly,39,gasly,10,Great Britain
10,Fernando Alonso,26,alonso,10,Great Britain
0,Lewis Hamilton,195,hamilton,11,Hungary
1,Max Verstappen,187,max_verstappen,11,Hungary
2,Lando Norris,113,norris,11,Hungary
3,Valtteri Bottas,108,bottas,11,Hungary
4,Sergio Pérez,104,perez,11,Hungary
5,Carlos Sainz,83,sainz,11,Hungary
6,Charles Leclerc,80,leclerc,11,Hungary
7,Pierre Gasly,50,gasly,11,Hungary
8,Daniel Ricciardo,50,ricciardo,11,Hungary
10,Fernando Alonso,38,alonso,11,Hungary
0,Lewis Hamilton,202.5,hamilton,12,Belgium
1,Max Verstappen,199.5,max_verstappen,12,Belgium
2,Lando Norris,113,norris,12,Belgium
3,Valtteri Bottas,108,bottas,12,Belgium
4,Sergio Pérez,104,perez,12,Belgium
5,Carlos Sainz,83.5,sainz,12,Belgium
