,name,points,constructorID,year
0,Ferrari,170,ferrari,2000
1,McLaren,162,mclaren,2000
2,Williams,36,williams,2000
3,Benetton,20,benetton,2000
4,BAR,20,bar,2000
5,Jordan,17,jordan,2000
6,Arrows,7,arrows,2000
7,Sauber,6,sauber,2000
8,Jaguar,4,jaguar,2000
9,Minardi,0,minardi,2000
10,Prost,0,prost,2000
0,Ferrari,179,ferrari,2001
1,McLaren,102,mclaren,2001
2,Williams,80,williams,2001
3,Sauber,21,sauber,2001
4,Jordan,19,jordan,2001
5,BAR,17,bar,2001
6,Benetton,10,benetton,2001
7,Jaguar,9,jaguar,2001
8,Prost,4,prost,2001
9,Arrows,1,arrows,2001
10,Minardi,0,minardi,2001
0,Ferrari,221,ferrari,2002
1,Williams,92,williams,2002
2,McLaren,65,mclaren,2002
3,Renault,23,renault,2002
4,Sauber,11,sauber,2002
5,Jordan,9,jordan,2002
6,Jaguar,8,jaguar,2002
7,BAR,7,bar,2002
8,Minardi,2,minardi,2002
9,Toyota,2,toyota,2002
10,Arrows,2,arrows,2002
0,Ferrari,158,ferrari,2003
1,Williams,144,williams,2003
2,McLaren,142,mclaren,2003
3,Renault,88,renault,2003
4,BAR,26,bar,2003
5,Sauber,19,sauber,2003
6,Jaguar,18,jaguar,2003
7,Toyota,16,toyota,2003
8,Jordan,13,jordan,2003
9,Minardi,0,minardi,2003
0,Ferrari,262,ferrari,2004
1,BAR,119,bar,2004
2,Renault,105,renault,2004
3,Williams,88,williams,2004
4,McLaren,69,mclaren,2004
5,Sauber,34,sauber,2004
6,Jaguar,10,jaguar,2004
7,Toyota,9,toyota,2004
8,Jordan,5,jordan,2004
9,Minardi,1,minardi,2004
0,Renault,191,renault,2005
1,McLaren,182,mclaren,2005
2,Ferrari,100,ferrari,2005
3,Toyota,88,toyota,2005
4,Williams,66,williams,2005
5,BAR,38,bar,2005
6,Red Bull,34,red_bull,2005
7,Sauber,20,sauber,2005
8,Jordan,12,jordan,2005
9,Minardi,7,minardi,2005
