,driverID,race,qualipos,racepos
0,alesi,1,6,2
1,barrichello,1,8,8
2,berger,1,7,9
3,brundle,1,19,11
4,coulthard,1,13,18
5,damon_hill,1,2,13
6,diniz,1,20,6
7,fisichella,1,16,17
8,frentzen,1,9,4
9,hakkinen,1,5,5
10,herbert,1,14,10
11,irvine,1,3,15
12,katayama,1,15,14
13,lamy,1,17,20
14,michael_schumacher,1,4,1
15,panis,1,11,16
16,rosset,1,18,19
17,salo,1,10,12
18,verstappen,1,12,7
19,villeneuve,1,1,3
20,alesi,2,5,2
21,badoer,2,19,21
22,barrichello,2,2,8
23,berger,2,8,9
24,brundle,2,6,11
25,coulthard,2,14,18
26,damon_hill,2,1,13
27,diniz,2,22,6
28,frentzen,2,9,4
29,hakkinen,2,7,5
30,herbert,2,12,10
31,irvine,2,10,15
32,katayama,2,16,14
33,lamy,2,18,20
35,michael_schumacher,2,4,1
36,montermini,2,20,22
37,panis,2,15,16
38,rosset,2,17,19
39,salo,2,11,12
40,verstappen,2,13,7
41,villeneuve,2,3,3
42,alesi,3,4,2
43,badoer,3,21,21
44,barrichello,3,6,8
45,berger,3,5,9
46,brundle,3,15,11
47,coulthard,3,9,18
48,damon_hill,3,1,13
49,diniz,3,18,6
50,frentzen,3,11,4
51,hakkinen,3,8,5
52,herbert,3,17,10
53,irvine,3,10,15
54,katayama,3,13,14
55,lamy,3,19,20
57,michael_schumacher,3,2,1
58,montermini,3,22,22
59,panis,3,12,16
60,rosset,3,20,19
61,salo,3,16,12
62,verstappen,3,7,7
63,villeneuve,3,3,3
64,alesi,4,4,2
65,barrichello,4,5,8
66,berger,4,8,9
67,brundle,4,11,11
68,coulthard,4,6,18
69,damon_hill,4,1,13
70,diniz,4,17,6
71,fisichella,4,18,17
72,frentzen,4,10,4
73,hakkinen,4,9,5
74,herbert,4,12,10
75,irvine,4,7,15
76,katayama,4,16,14
77,lamy,4,19,20
78,michael_schumacher,4,3,1
79,panis,4,15,16
80,rosset,4,20,19
81,salo,4,14,12
82,verstappen,4,13,7
83,villeneuve,4,2,3
84,alesi,5,5,2
85,badoer,5,21,21
86,barrichello,5,9,8
87,berger,5,7,9
88,brundle,5,12,11
89,coulthard,5,4,18
90,damon_hill,5,2,13
91,diniz,5,17,6
92,fisichella,5,19,17
93,frentzen,5,10,4
94,hakkinen,5,11,5
95,herbert,5,15,10
96,irvine,5,6,15
97,katayama,5,16,14
98,lamy,5,18,20
99,michael_schumacher,5,1,1
100,montermini,5,22,22
101,panis,5,13,16
102,rosset,5,20,19
103,salo,5,8,12
104,verstappen,5,14,7
105,villeneuve,5,3,3
106,alesi,6,3,2
107,badoer,6,21,21
108,barrichello,6,6,8
109,berger,6,4,9
110,brundle,6,16,11
111,coulthard,6,5,18
112,damon_hill,6,2,13
113,diniz,6,17,6
114,fisichella,6,18,17
115,frentzen,6,9,4
116,hakkinen,6,8,5
117,herbert,6,13,10
118,irvine,6,7,15
119,katayama,6,15,14
120,lamy,6,19,20
121,michael_schumacher,6,1,1
122,montermini,6,22,22
123,panis,6,14,16
124,rosset,6,20,19
125,salo,6,11,12
126,verstappen,6,12,7
127,villeneuve,6,10,3
128,alesi,7,4,2
129,barrichello,7,7,8
130,berger,7,5,9
131,brundle,7,15,11
132,coulthard,7,14,18
133,damon_hill,7,1,13
134,diniz,7,17,6
135,fisichella,7,19,17
136,frentzen,7,11,4
137,hakkinen,7,10,5
138,herbert,7,9,10
139,irvine,7,6,15
140,katayama,7,16,14
141,lamy,7,18,20
142,michael_schumacher,7,3,1
143,panis,7,8,16
144,rosset,7,20,19
145,salo,7,12,12
146,verstappen,7,13,7
147,villeneuve,7,2,3
148,alesi,1,8,6
149,barrichello,1,11,12
150,berger,1,10,1
151,coulthard,1,4,19
152,damon_hill,1,20,8
153,diniz,1,22,18
154,fisichella,1,14,11
155,frentzen,1,2,20
156,hakkinen,1,6,3
157,herbert,1,7,17
158,irvine,1,5,21
159,katayama,1,15,16
161,magnussen,1,19,15
162,michael_schumacher,1,3,2
163,nakano,1,16,7
165,ralf_schumacher,1,12,5
166,salo,1,18,13
167,trulli,1,17,4
168,verstappen,1,21,10
169,villeneuve,1,1,14
170,alesi,2,6,6
171,barrichello,2,11,12
172,berger,2,3,1
173,coulthard,2,12,19
174,damon_hill,2,9,8
175,diniz,2,16,18
176,fisichella,2,7,11
177,frentzen,2,8,20
178,hakkinen,2,4,3
179,herbert,2,13,17
180,irvine,2,14,21
181,katayama,2,18,16
183,magnussen,2,20,15
184,michael_schumacher,2,2,2
185,nakano,2,15,7
187,ralf_schumacher,2,10,5
188,salo,2,22,13
189,trulli,2,17,4
190,verstappen,2,21,10
191,villeneuve,2,1,14
192,alesi,3,11,6
193,barrichello,3,5,12
194,berger,3,12,1
195,coulthard,3,10,19
196,damon_hill,3,13,8
197,diniz,3,22,18
198,fisichella,3,9,11
199,frentzen,3,2,20
200,hakkinen,3,17,3
