,Year,Source Name,Link
0,2012.0,Autosport.com,https://www.autosport.com/f1/news/the-true-cost-of-formula-1-5102563/5102563/
1,2013.0,Autosport.com,https://www.autosport.com/f1/news/the-true-cost-of-formula-1-5102563/5102563/
2,2014.0,Bleacher Report,https://bleacherreport.com/articles/2281654-mercedes-and-williams-were-the-most-efficient-teams-in-the-2014-formula-1-season
3,2015.0,Crash.net,https://www.crash.net/f1/news/221835/1/f1-2015-team-budgets-published-but-which-team-spends-most
4,2016.0,The News Wheel,https://thenewswheel.com/what-did-formula-1-teams-spend-in-2016/
5,2017.0,racefans.net,https://www.racefans.net/2018/12/26/the-cost-of-f1-revealed-how-much-teams-spent-in-2018-part-two/
6,2018.0,racefans.net,https://www.racefans.net/2018/12/19/how-much-f1-teams-spent-race-2018-part-one/
7,2019.0,racefans.net,https://www.racefans.net/2019/12/27/the-cost-of-f1-2019-team-budgets-analysed-part-one/
8,,,https://www.racefans.net/2020/01/02/the-cost-of-f1-2019-part-two-what-the-top-teams-spent/
9,2020.0,,Estimated using CAGR from previous years
