,driverID,race,qualipos,racepos
0,alguersuari,1,18,9
1,alonso,1,3,7
2,barrichello,1,11,12
3,bruno_senna,1,23,19
4,buemi,1,15,15
5,button,1,8,3
7,glock,1,19,22
8,grassi,1,22,18
9,hamilton,1,4,2
10,hulkenberg,1,13,16
11,kobayashi,1,16,14
12,kovalainen,1,21,17
13,kubica,1,9,5
14,liuzzi,1,12,24
15,massa,1,2,10
16,michael_schumacher,1,7,23
17,petrov,1,17,6
19,rosberg,1,5,4
20,sutil,1,10,13
21,trulli,1,20,21
22,vettel,1,1,1
23,webber,1,6,8
24,alguersuari,2,17,9
25,alonso,2,3,7
26,barrichello,2,8,12
27,bruno_senna,2,23,19
28,buemi,2,12,15
29,button,2,4,3
31,glock,2,21,22
32,grassi,2,22,18
33,hamilton,2,11,2
34,hulkenberg,2,15,16
35,kobayashi,2,16,14
36,kovalainen,2,19,17
37,kubica,2,9,5
38,liuzzi,2,13,24
39,massa,2,5,10
40,michael_schumacher,2,7,23
41,petrov,2,18,6
43,rosberg,2,6,4
44,sutil,2,10,13
45,trulli,2,20,21
46,vettel,2,1,1
47,webber,2,2,8
48,alguersuari,3,14,9
49,alonso,3,19,7
50,barrichello,3,7,12
51,bruno_senna,3,23,19
52,buemi,3,13,15
53,button,3,17,3
55,glock,3,16,22
56,grassi,3,24,18
57,hamilton,3,20,2
58,hulkenberg,3,5,16
59,kobayashi,3,9,14
60,kovalainen,3,15,17
61,kubica,3,6,5
62,liuzzi,3,10,24
63,massa,3,21,10
64,michael_schumacher,3,8,23
65,petrov,3,11,6
67,rosberg,3,2,4
68,sutil,3,4,13
69,trulli,3,18,21
70,vettel,3,3,1
71,webber,3,1,8
72,alguersuari,4,12,9
73,alonso,4,3,7
74,barrichello,4,11,12
75,bruno_senna,4,23,19
76,buemi,4,13,15
77,button,4,5,3
79,glock,4,19,22
80,grassi,4,22,18
81,hamilton,4,6,2
82,hulkenberg,4,16,16
83,kobayashi,4,15,14
84,kovalainen,4,21,17
85,kubica,4,8,5
86,liuzzi,4,18,24
87,massa,4,7,10
88,michael_schumacher,4,9,23
89,petrov,4,14,6
91,rosberg,4,4,4
92,sutil,4,10,13
93,trulli,4,20,21
94,vettel,4,1,1
95,webber,4,2,8
96,alguersuari,5,16,9
97,alonso,5,4,7
98,barrichello,5,18,12
99,bruno_senna,5,24,19
100,buemi,5,15,15
101,button,5,5,3
